1,1200,Mastercard,carolina
2,1200,Visa,Betina
3,1200,Mastercard,Federica e Andrea
4,1200,Visa,Gouya
5,3600,Visa,Gerd W 
6,1200,Visa,LAURENCE
7,1200,Mastercard,Fleur
8,1200,Mastercard,adam
9,1200,Mastercard,Renee Elisabeth
10,1200,Visa,Aidan
11,1200,Diners,Stacy
12,1200,Amex,Heidi
13,1200,Mastercard,Sean 
14,1200,Visa,Georgia
15,1200,Visa,Richard
16,1200,Diners,Leanne
17,1200,Visa,Janet
18,1200,Diners,barbara
19,3600,Visa,Sabine
20,1200,Diners,Hani
21,1200,Visa,Jeremy
22,1200,Diners,Janis
23,1200,Mastercard,Nicola
24,1200,Visa,asuman
25,1200,Mastercard,Lena
26,1200,Visa,Lisa
27,1200,Diners,Bryan Kerrene
28,1200,Visa,chris
29,1200,Visa,Maxine
30,1200,Visa,Family
31,1200,Mastercard,Katherine
32,1200,Mastercard,Linda
33,1200,Mastercard,SYLVIA
34,1200,Diners,Sheila
35,1200,Mastercard,Stephanie
36,1200,Amex,Kelly
37,3600,Visa,James
38,1200,Visa,jennifer
39,1200,Mastercard,Anneli
40,3600,Amex,Ritz
41,3600,Amex,Sylvia
42,1200,Mastercard,Marie
43,1200,Visa,Mehmet Fatih
44,3600,Visa,Anabela
45,1200,Amex,Nicole
46,3600,Visa,Christiane 
47,1200,Mastercard,Sari
48,1200,Mastercard,simone
49,1200,Amex,Vanessa
50,1200,Diners,Anupam
51,1200,Visa,Karina
52,1200,Mastercard,Frank
53,1200,Visa,Angela
54,1200,Visa,Darren
55,1200,Mastercard,Nikki
56,1200,Visa,chris
57,1200,Visa,Stephanie
58,1200,Visa,Anushka
59,1200,Mastercard,June 
60,3600,Diners,Baybars
61,1200,Mastercard,Bonnie
62,1200,Visa,Cindy 
63,1200,Mastercard,chrissy
64,1200,Mastercard,Tamar
65,3600,Mastercard,Deirdre
66,1200,Mastercard,Bernadett
67,1200,Visa,Dottie
68,1200,Visa,Stefan
69,1200,Visa,Gina
70,1200,Diners,Lynne
71,1200,Mastercard,Tammy
72,1200,Visa,Kim
73,1200,Visa,Bruce
74,1200,Visa,Rosa Maria
75,1200,Visa,Lydia
76,1200,Visa,Eric
77,1200,Mastercard,AnaPaula
78,1200,Visa,Robin
79,1200,Visa,Gitte
80,1200,Visa,Dr. Claudia
81,1200,Visa,Crystal
82,1200,Diners,Delphine
83,1200,Visa,nathalie
84,1200,Mastercard,Lindi
85,3600,Mastercard,Valda
86,3600,Mastercard,Marcia
87,1200,Mastercard,Kevin
88,1200,Visa,Clare
89,1200,Visa,Alice
90,1200,Mastercard,ZENA
91,1200,Visa,Andrea
92,1200,Visa,Rennae
93,1200,Visa,Gerhard
94,1200,Amex,Megan
95,1200,Mastercard,Danielle
96,1200,Mastercard,Tod
97,1200,Visa,Janaina
98,1200,Visa,Kofi
99,1200,Visa,Jennifer
100,1200,Visa,Jolene 
101,1200,Mastercard,anne
102,1200,Mastercard,Alexis
103,1200,Visa,Dez
104,1200,Visa,Stephanie
105,1200,Visa,Melissa 
106,1200,Amex,CLARE
107,1200,Mastercard,catherine
108,1200,Visa,Veronique 
109,1200,Mastercard,Bruce and Camille
110,1200,Mastercard,Ellen
111,1200,Visa,Amy
112,1200,Visa,Anna
113,1200,Mastercard,Regina
114,1200,Visa,Heidi
115,1200,Visa,Jessica
116,1200,Diners,Petra
117,1200,Visa,Brian
118,1200,Visa,Kenny
119,1200,Amex,ayse
120,1200,Amex,Maria and Timothy
121,1200,Visa,IMAN
122,2100,Mastercard,Gerald
123,1200,Mastercard,Annelies
124,1200,Amex,Jocelyn
125,1200,Visa,Kara
126,1200,Visa,Orsi
127,1200,Visa,Ben
128,1200,Visa,Sam
129,1200,Visa,Filip and Teresa
130,1200,Visa,Grace 
131,1200,Visa,Chelsey 
132,1200,Amex,Charis
133,1200,Visa,Marlene
134,1200,Visa,Fie
135,1200,Diners,Nicole 
136,1200,Diners,Linda
137,1200,Visa,Janet
138,1200,Mastercard,Jamie
139,1200,Visa,Chad
140,1200,Mastercard,sunny
141,1200,Visa,Anna
142,1200,Diners,Roger
143,1200,Mastercard,Si
144,1200,Visa,Sherri
145,1200,Mastercard,Katherine
146,1200,Mastercard,Clare
147,1200,Amex,Campbell
148,1200,Visa,Ruth
149,3600,Visa,Cheryl
150,1200,Visa,Doug
151,7500,Mastercard,Julianne
152,1200,Visa,Shailesh
153,1200,Visa,Conrad
154,1200,Diners,Alison
155,1200,Mastercard,Tracy
156,1200,Visa,Kate
157,1200,Diners,Sarka
158,3600,Visa,Therese
159,3600,Visa,Abdul-L
160,3600,Visa,heidi
161,3600,Visa,jiyoung
162,1200,Visa,Klara
163,1200,Mastercard,Andrew
164,1200,Visa,Vicki and Bill
165,1200,Mastercard,David
166,1200,Mastercard,Antonella
167,1200,Visa,David
168,1200,Visa,Greg
169,1200,Visa,Jannik 
170,1200,Visa,Sylvia
171,1200,Amex,Bernadette
172,1200,Diners,Denise
173,3600,Visa,Caren
174,1200,Visa,luciana
175,1200,Diners,Maja
176,3600,Visa,Kristen
177,1200,Visa,Kirstie
178,1200,Visa,Scott 
179,1200,Mastercard,Jammie
180,1200,Mastercard,Frank
181,1200,Mastercard,scott
182,1200,Visa,Jiri
183,3600,Visa,Bev
184,1200,Visa,Dave and Amy
